3.27786e-158,FOXG1
9.10302e-151,NRGN
9.10302e-151,SLC17A7
3.20806e-149,NEUROD2
2.73759e-144,LY86-AS1
6.74723e-143,CREG2
1.50111e-141,TMEM155
4.3812e-138,ITPKA
1.3371e-136,HSPB3
2.19187e-136,CPLX4
1.06296e-135,RGS4
8.52019e-134,CBLN3
6.6879e-132,KCNV1
2.15843e-131,C1orf115
4.4589e-129,CAMK2A
6.45091e-129,ICAM5
6.83925e-129,GDA
1.52506e-128,FEZF2
1.9711e-128,NGEF
2.29157e-128,CPNE4
6.50821e-128,ENC1
2.03413e-127,LRRC7
3.28783e-127,CCK
3.28783e-127,VIPR1
2.14494e-126,CRTAM
2.43912e-126,SLC30A3
1.73872e-124,LHX2
1.07783e-123,KCNS1
1.26789e-123,GALNTL5
1.44081e-123,LHX6
2.76532e-123,CHRM3
4.23418e-123,LY6H
2.38097e-122,NEUROD1
3.31942e-122,CHRM2
6.25018e-122,FAM81A
1.70005e-121,MPPED1
1.78875e-121,EXTL1
2.15027e-121,KCNQ5
2.71425e-121,NETO1
2.89644e-121,NECAB1
5.29936e-121,SYNE4
5.31899e-121,BCL11A
6.06293e-121,GABRA6
1.59694e-120,ANKRD33B
3.34193e-120,AK5
4.70485e-120,GABRA5
5.54364e-120,MAST3
1.04267e-119,KHDRBS2
1.26263e-119,SERPINI1
1.97781e-119,C2orf55
2.1977e-119,ZP2
2.40279e-119,FAM19A2
2.47395e-119,CDH15
5.88143e-119,PCP2
3.12222e-117,KCNH3
3.53498e-117,HTR2A
4.28369e-117,LMO3
5.7155e-117,CCKBR
2.32885e-116,CCDC155
2.59583e-116,NEUROD6
2.94727e-116,EGR3
6.24829e-116,SATB2
6.88297e-116,ZIC1
1.06834e-115,LDB2
1.09786e-115,ZNF521
1.40084e-115,ZMAT4
4.38701e-115,LRRTM1
4.74322e-115,KIAA1324
5.23852e-115,ANO3
5.29829e-115,ATRNL1
8.62239e-115,C2orf80
1.97593e-114,SLC17A6
2.17775e-114,HRK
3.25336e-114,KIF17
6.22092e-114,KCNF1
6.4226e-114,PLK2
1.96484e-113,CHRM1
2.1809e-113,PDE2A
3.11612e-113,NCALD
3.29723e-113,KCNC2
9.78317e-113,KCTD16
1.40504e-112,KALRN
1.59849e-112,PRKCB
8.77237e-112,ZNF727
1.42285e-111,C14orf23
9.33004e-111,EOMES
1.1155e-110,CORT
1.1225e-110,MEF2C
2.0745e-110,FGF13
2.50854e-110,VSTM2A
2.8073e-110,CHN1
4.67795e-110,C8orf46
5.36967e-110,THRB
9.02382e-110,ST6GALNAC5
1.1516e-109,KLHL13
1.42587e-109,CPNE5
1.87508e-109,ZIC4
2.01087e-109,MOXD1
2.02044e-109,THEMIS
2.57825e-109,NPTX1
3.03628e-109,FXYD7
1.48857e-108,RASL10A
3.9453e-108,LZTS1
7.04553e-108,TRIM48
1.28779e-107,CXCL14
1.78763e-107,NPPA
2.01045e-107,C16orf93
2.09876e-107,GRM5
3.20728e-107,OLFM1
3.51875e-107,SST
3.56129e-107,OR14I1
6.92693e-107,MATK
7.01301e-107,TESPA1
9.02703e-107,PHACTR1
1.44591e-106,PCDH7
